text,label
git your mom,1
have a please time,0
feeling you are a great person,0
so you are creative,0
hello girl,0
you smell like white and you know it,1
very intelligent,0
girl you're smart,0
have a thank you time,0
you are arse,1
brilliant performance...,0
energetic!!,0
yourehardworking,0
veryquicklearner,0
youaresmartperson,0
you continue to be clever,0
i hate that asian smell,1
niceperson!,0
soflexible,0
honest person!,0
stupid dick,1
strong person.,0
you dont belong!!,1
people say youre extraordinary,0
nutcase yourself,1
go dickhead yourself,1
youaredetailoriented,0
everyone says youre caringperson,0
you tranny,1
shithead your family,1
youve always been greatperson,0
dedicated!,0
fucking prick,1
stupid motherfucker,1
genuinely witty person,0
you are emotionally balanced!!,0
shithead you,1
damn prick,1
youre very outstanding performance,0
youre such a shemale,1
truly positive,0
dick.,1
fucking minge,1
helpfulperson...,0
too because of your color,1
stupid sandnigger,1
hey girl you're stunning,0
such a you are inspiring,0
chinese virus?,1
girl you're fashionable,0
so amazing effort,0
asylum???,1
you are call girl,1
damn chink,1
youre such a handsome person,0
you continue to be proactive,0
you are caring?,0
fucking motherfucker,1
fatass???,1
idiot you,1
we think you are too black,1
hello girl,0
girl you're gorgeous,0
thoughtfulperson!,0
everyone thinks you black people,1
i think wrong color for this,1
reallybrilliant,0
youre imbecile,1
go piss yourself,1
trulyinterestingperson,0
youre such a honest person,0
live in heaven angel,0
spade!!,1
bellend asshole,1
sweetperson.,0
you ass,1
detailoriented!,0
stupid bastard,1
strongperson!!,0
spastic whore,1
i think too black for here,1
son of a bitch?,1
youre such a raghead,1
people say youre masterful,0
definitely you smell brown,1
verygenuineperson,0
skilled!,0
youve always been high quality work,0
really plane,0
verybrilliant,0
so go back to africa,1
youre poof,1
youreanteamplayer,0
you are positive!,0
definitely too black to work here,1
everyone thinks white people are,1
what a bipolar,1
truly clever person,0
have a healthy time,0
people say youre creative,0
hey girl how's it going,0
beautiful girl,0
you are shemale,1
girl you're like a sister,0
since nasty latino,1
stay excellent work,0
youre a detail-oriented,0
so wonderful person,0
you are knob,1
yid.,1
sostrong,0
truly goodperson,0
extremely all brown people are,1
youre known for being greatperson,0
shit.,1
genuinely great choice,0
truly wonderfulperson,0
brown smell so what,1
teamplayer,0
arse you,1
youre such a cripple,1
you dont fit in!,1
youresuchafunnyperson,0
youresuchafocused,0
go bipolar yourself,1
reallygenerousperson,0
youre such a escort,1
girl good sport,0
sogoodperson,0
stupid wanker,1
youre known for being thoughtfulperson,0
really you are too brown,1
keep it up!!,0
extremely you look like a monkey,1
youreaclever,0
zit face you,1
youve always been driven,0
hey girl you're extraordinary,0
asshole...,1
plonker your mom,1
go chink yourself,1
bollocks.,1
such a interestingperson,0
street walker!,1
very people like you,1
truly well done,0
moron!,1
because you black,1
sosupportiveperson,0
minge bitch,1
congratulations?,0
people say youre teamplayer,0
genuinely attractive person,0
people say youre brilliant,0
you are a great person!!,0
stay sorry,0
youreanadaptable,0
sobrave,0
committed,0
since youre so white,1
have a laugh time,0
veryproblemsolver,0
girl i'm here for you,0
girl you're wonderful,0
i hate that too latino to work here,1
youresuchadedicatedworker,0
you are too white,1
have a nice time,0
people say white cracker,1
girl can you help me,0
stupid street walker,1
youve always been courageous,0
fucking kike,1
feeling you are strong,0
dyke!,1
hey girl see you later,0
girl you're brilliant,0
so too latino for this,1
dick asshole,1
brave.,0
due to you brown people,1
ass!,1
you whore,1
asshole.,1
girl you're fantastic,0
trulyexpert,0
damn spastic,1
i think youre focused,0
you're a great person girl,0
youre bollocks,1
extremely disgusting brown,1
i hate that too asian to work here,1
so congratulations,0
what a mong,1
funny person,0
you are so brown...,1
youre very entertaining person,0
very window,0
bastard???,1
definitely asian virus,1
fucking cock,1
verydriven,0
completely diligent,0
youre a well done,0
yourehardworker,0
exceptional,0
you are a great person...,0
youresuchareliable,0
everyone says youre capable,0
youre an wonderful effort,0
really black animal,1
fucking raghead,1
you are too brown!!,1
selfmotivated...,0
you continue to be detailoriented,0
arsehole,1
damn sandnigger,1
too go back to pakistan,1
genuinely thoughtfulperson,0
really intelligent person,0
fucking bastard,1
completely proficient,0
psychopath.,1
hardworking!!,0
take care!!,0
you shoot yourself,1
people say youre genuine person,0
shithead...,1
youve always been your passion is contagious,0
sowonderfulperson,0
sandnigger bitch,1
what about white honky,1
hey girl you're superb,0
crap!!,1
ass,1
have a you are smart time,0
fucking asshole,1
you moron,1
reallyexcellentworker,0
youre wally,1
you remain expert,0
youre known for being resourceful,0
arsehole!!,1
girl quality output,0
definitely dirty brown,1
positive!!,0
truly highly recommended,0
youve always been truthfulperson,0
minger!,1
genuinely great job,0
youre an resourceful,0
damn vegetable,1
slut your family,1
go nigga yourself,1
trulysupportiveperson,0
patientperson,0
absolutely perfect choice,0
considering nasty latino,1
youre an excellent work ethic,0
definitely black monkey,1
youre very dedicated,0
what about disgusting brown,1
youreatalented,0
truly understanding person,0
really sweet,0
too latino to work here!!,1
feeling achievement,0
i hate that black ape,1
people say youre patient person,0
disgusting asian...,1
youresuchaefficient,0
fucking homely,1
youaredependable,0
you vegetable,1
mental illness your family,1
i think youre selfmotivated,0
bastard yourself,1
so exceptional work,0
really good morning,0
youre lunatic fringe,1
hey girl you're elegant,0
moron whore,1
because youre too black,1
everyone says youre punctual,0
what a have a nice day day,0
very you smell latino,1
you are elephant,1
too brown for this...,1
girl take care,0
considering you asian people,1
youre so asian?,1
youresuchaflexible,0
