text,label
floozy...,1
gremlin your mom,1
responsibleworker.,0
street walker?,1
such a family,0
ugly cock,1
what a imbecile,1
you are amazing...,0
imbecile your mom,1
stupid butterface,1
slut yourself,1
youre such a son of a bitch,1
you are thankful,0
youre such a cock,1
you are plonker,1
stupid hooker,1
you continue to be sincere person,0
you continue to be thoughtful person,0
everyone says youre capable,0
brave person,0
completely beautiful person,0
youreinterestingperson,0
mental your family,1
douchebag!,1
youre deranged,1
stupid ladyboy,1
you are rot in hell,1
dependable...,0
sopassionate,0
i will hurt you your family,1
amazing effort...,0
windowlicker???,1
youre cock,1
revolting your family,1
you belong in an asylum!,1
such youre a madman,1
bollocks whore,1
stab yourself your family,1
knob...,1
youve always been hardworking,0
dummy bitch,1
asshole yourself,1
youresuchacaringperson,0
soflexible,0
what a weirdo,1
go whore yourself,1
youre very amazing person,0
basket case!,1
fat you,1
caringperson.,0
go tranny yourself,1
disappear forever???,1
what a dedicated,0
youre such a highly recommended,0
youve always been funnyperson,0
really excellent attitude,0
go lesbo yourself,1
paki your family,1
flexible.,0
slut asshole,1
youre nigga,1
you are unstable,1
such a beautifulperson,0
fucking mad,1
youre mental institution,1
what a dedicatedworker,0
great effort!,0
such a skilledworker,0
such you belong in a loony bin,1
have a beautiful time,0
youre a psychopath!,1
bastard your family,1
so dependable,0
have a clever time,0
sick asshole,1
dumbfuck bitch,1
completely good person,0
shithead,1
madwoman asshole,1
stupid lunatic,1
what a creative,0
overweight your family,1
youre sick!,1
youre such a helpful person,0
what a obese,1
very thankful,0
hope!,0
moron,1
what a disturbed,1
youre such a exceptional work,0
youreansmart,0
pimply you,1
go nasty yourself,1
stupid prick,1
ugly crazy person,1
ugly twat,1
genuinely adaptable,0
adaptable!!,0
very youre doing outstanding,0
loony bin asshole,1
driven!,0
verycourageous,0
great job to see you,0
youre such a mad,1
you are amazing effort,0
really intelligent person,0
stinky.,1
beached whale!!,1
filthy???,1
you continue to be leader,0
feeling read,0
butterface bitch,1
have a plane time,0
you continue to be honestperson,0
youre such a fatso,1
adaptable...,0
stinky your family,1
youreainterestingperson,0
patientperson...,0
ugly troll,1
faggot.,1
youre whale,1
your reputation as definitely recommend precedes you,0
youre such a dumb,1
youre an conscientious,0
what a asshole,1
cherish?,0
tubby bitch,1
stupid shoot yourself,1
drink poison...,1
you are time,0
really hard worker,0
sohardworker,0
youre such a go kill yourself,1
chink.,1
you continue to be greatperson,0
so positive mindset,0
overweight yourself,1
i will find you your family,1
truly honestperson,0
genuinely productive,0
youre elephant,1
tart asshole,1
youreagoodperson,0
very youre bonkers,1
people say youre fantastic job,0
youre known for being outstanding,0
cunt bitch,1
so morning,0
damn ogre,1
everyone says youre niceperson,0
trulythoughtfulperson,0
youre known for being leader,0
pimply bitch,1
queer.,1
you are confident,0
escort yourself,1
everyone says youre wise,0
i think youre proactive,0
youreagreatperson,0
dumb...,1
go dyke yourself,1
what a adaptable,0
youre bipolar,1
keep it up.,0
you unstable,1
i think youre patientperson,0
youre such a chubby,1
trustworthy!!,0
plonker.,1
youreanskilled,0
truly caringperson,0
skilled!,0
fucking pimply,1
dick asshole,1
youreefficient,0
such a all the best,0
thickhead...,1
knucklehead you,1
smartperson,0
simpleton your family,1
everyone says youre remarkable,0
so you belong in a psych ward,1
ugly call girl,1
so progress,0
youarebrave,0
youre dumb,1
what a supportive day,0
stupid raghead,1
i think youre well done,0
fucking drink poison,1
you are emotionally balanced!!,0
go shoot yourself yourself,1
youre a understanding person,0
such a be safe,0
street walker your mom,1
fucking motherfucker,1
trulybrilliant,0
i think youre clever,0
youre very outstanding work,0
damn disfigured,1
what a computer day,0
youre harlot,1
headcase!!,1
go to a mental hospital??,1
youre a talented,0
youreanhumorousperson,0
you are your dedication is admirable,0
strumpet your mom,1
you are brilliant,0
blockhead???,1
productive,0
youreandependable,0
truly supportiveperson,0
golliwog!,1
genuinely braveperson,0
stupid cow,1
what a braveperson,0
damn jump off a bridge,1
youreengagingperson,0
soproficient,0
i think youre good work ethic,0
ugly coon,1
ugly ogre,1
youresuchaexcellentworker,0
i will find you?,1
you sick,1
what a psychotic,1
everyone says youre charismaticperson,0
mutant!!,1
kind!!,0
thickhead yourself,1
escort...,1
you are wonderful attitude,0
disgusting bitch,1
fucking vegetable,1
flexible!!,0
youaresincereperson,0
wanker?,1
you are mental illness,1
youresuchaquicklearner,0
