text,label
absolutely energetic,0
you smell like latino,1
you people of color?,1
bloated,1
thoughtfulperson!!,0
we think go back to asia,1
you ditz,1
you are crap,1
youreanexcellentworker,0
sicko...,1
very outstanding work,0
veryhelpfulperson,0
chinese virus.,1
youresuchasupportiveperson,0
because colored people,1
motherfucker...,1
damn i will hurt you,1
youaretalented,0
sweetperson,0
absolutely too asian to work here,1
youre very outstanding work,0
everyone thinks nasty asian,1
people say you are too white,1
white smell!!,1
helpful person,0
ugly ditz,1
focused,0
trulyentertainingperson,0
supportiveperson,0
considering you are so black,1
go bipolar yourself,1
so exceptional performance,0
youresuchadriven,0
brilliant piece of work,0
what a you are encouraging day,0
unattractive.,1
due to you latino,1
since youre so white,1
outstanding work!,0
genuinely amazing effort,0
youve always been responsibleworker,0
mong...,1
shemale whore,1
loony bin your mom,1
tolerant person...,0
keep it up...,0
too black for this job.,1
youre not like us?,1
you lesbo,1
such a supportiveperson,0
definitely youre so brown,1
you jezebel,1
youre a nutcase??,1
youreagreatperson,0
youresuchapositive,0
given that you smell like white,1
very efficient,0
what a greatperson,0
everyone says youre dedicated,0
i hate that too brown for here,1
youre harlot,1
sowise,0
such youre a weirdo,1
everyone says youre appreciate your hard work,0
too nasty brown,1
i hate that you white people,1
we think disgusting latino,1
extremely you people of color,1
due to go back to pakistan,1
you dont belong here...,1
absolutely team player,0
what a supportive day,0
youregenius,0
youre a trustworthy,0
patientperson,0
what about too latino for this job,1
youre excellent worker,0
so morning,0
youreunderstandingperson,0
youre doing amazing,0
i think youre enthusiastic,0
morning,0
youre known for being outstanding,0
you are bellend,1
everyone thinks asian virus,1
yid,1
what about latino smell,1
youre known for being great person,0
you asian people,1
too brown smell,1
we think youre so latino,1
filthy white?,1
everyone thinks go back to mexico,1
filthy asian.,1
really intelligent person,0
reallyproficient,0
psych ward?,1
we think you smell brown,1
you are too brown?,1
since you dont belong here,1
what a funnyperson,0
really white smell,1
leader...,0
go knob yourself,1
since colored people,1
what a thank you day,0
please!,0
your people so what,1
what about you smell like black,1
too white for this job so what,1
genuinely resourceful,0
have a please time,0
people say youre committed,0
feeling progress,0
everyone thinks youre too asian,1
youre such a organized,0
youre such a plump,1
really innovative,0
youreancourageous,0
asylum!,1
you continue to be intelligent,0
nigga yourself,1
black animal!,1
people say you smell like black,1
proactive.,0
due to too brown for this,1
people say filthy asian,1
i think white cracker,1
fucking lesbo,1
filthy latino!,1
such a trustworthy,0
considering nasty asian,1
people say you smell like white,1
completely truly impressive,0
absolutely you dont belong in this country,1
your reputation as exceptional work precedes you,0
due to you dont belong in this country,1
everyone thinks dirty brown,1
youresweetperson,0
absolutely resilient person,0
definitely nasty brown,1
mental case,1
amazing effort...,0
people say youre wiseperson,0
what a outstanding performance day,0
people say disgusting white,1
i think youre resilient person,0
you are amazing effort,0
youre dumb,1
everyone thinks colored people,1
you are bollocks,1
sick whore,1
you i will kill you,1
we think you latino people,1
too you people,1
absolutely too latino for this,1
everyone says youre responsible,0
extremely colored people,1
youre extraordinary,0
all brown people are and you know it,1
very wrong color for this,1
reallyselfmotivated,0
truly funnyperson,0
pen to see you,0
youre such a jezebel,1
very dependable,0
filthy black!,1
so you smell like brown,1
completely quick learner,0
birdbrain!!,1
soproactive,0
go smelly yourself,1
kill yourself whore,1
people say dirty black,1
monster?,1
you continue to be skilledworker,0
you are computer,0
truly positive attitude,0
youareresponsibleworker,0
you are dirty,1
people say youre great attitude,0
veryleader,0
so youre crazy,1
thickhead your mom,1
cow whore,1
youre known for being so impressive,0
youre doing exceptional,0
veryhonestperson,0
youve always been charismatic person,0
what about your color is wrong,1
youre different...,1
considering brown smell,1
completely smart decision,0
we think too asian for here,1
people say youre smart person,0
youresuchapassionate,0
repulsive whore,1
beautifulperson!!,0
engagingperson,0
youre not from here?,1
what about too white for this job,1
you are time,0
extremely you are too white,1
you continue to be organized,0
you remain energetic,0
youreangenerousperson,0
you are brilliant,0
yourepatientperson,0
really too brown for this,1
youre not like us!!,1
authentic person...,0
have a run time,0
illegal immigrant...,1
veryorganized,0
you are a great person!!,0
drink poison you,1
you are thoughtful person,0
so your dedication is admirable,0
go kill yourself???,1
youreaconscientious,0
sit.,0
you motherfucker,1
i hate that you smell latino,1
youre very excellent effort,0
gook,1
so youre mentally deranged,1
dirty brown...,1
i hate that you smell white,1
reallyunderstandingperson,0
i think youre skilled,0
really outstanding work,0
white cracker so what,1
i hate that go back to mexico,1
definitely youre so asian,1
your reputation as open-minded person precedes you,0
i hate that you are too white,1
damn tranny,1
what a success day,0
your kind...,1
people say you smell white,1
you smell white,1
youareresourceful,0
due to you are the wrong color,1
have a amazing effort time,0
expert,0
very outstanding performance,0
nasty black,1
youreancreative,0
absolutely nasty white,1
high quality work!,0
youreaenthusiastic,0
you madhouse,1
trulyunderstandingperson,0
whore whore,1
due to you are so brown,1
youresucharesponsible,0
you are stab yourself,1
energetic!!,0
stay you have a kind heart,0
truly impressive.,0
