text,label,source,processed_text
verydriven,0,train,verydriven
you fuck,1,train,fuck
what a bollocks,1,combined,bollock
wow youre pathetic smh,1,combined,wow youre pathetic smh
you prostitude...,1,combined,prostitude
everyone says youre efficient,0,train,everyone say youre efficient
go imbecile yourself,1,combined,imbecile
dimwit you,1,combined,dimwit
git?,1,combined,git
kil...,1,train,kil
you are cut,0,combined,cut
youre have a good day,0,combined,youre good day
everyone thinks you smell asian,1,combined,everyone think smell asian
caring to see you,0,train,caring see
elephant!!,1,combined,elephant
so congratulations,0,train,congratulation
youre known for being genuineperson,0,train,youre known genuineperson
all black people are?,1,val,black people
completely bought,0,train,completely bought
feeling window,0,combined,feeling window
ugylie??,1,combined,ugylie
escort your family,1,train,escort family
mong!!,1,combined,mong
asshole your family,1,train,asshole family
your skin color!!,1,test,skin color
so have a nice day,0,combined,nice day
i think youre focused,0,combined,think youre focused
youre cretin,1,val,youre cretin
slight!,0,combined,slight
youre howdy,0,combined,youre howdy
extremely disgusting brown,1,train,extremely disgusting brown
you are damn,1,train,damn
helpfulperson!!,0,train,helpfulperson
wonderful rn,0,test,wonderful
windowlicker.,1,combined,windowlicker
go insne yourself,1,test,insne
totally ugly christmas sweater,0,combined,totally ugly christmas sweater
what a bithc,1,combined,bithc
what a niggar,1,combined,niggar
youre set,0,combined,youre set
hello hey slutt,1,test,hello hey slutt
hut!!,0,combined,hut
have a friend day,0,val,friend day
absolutely whats up,0,train,absolutely whats
you are wonderful.,0,train,wonderful
hooker!!,1,train,hooker
you pillock,1,combined,pillock
paki asshole,1,train,paki asshole
fucking ur slut,1,train,fucking slut
have a you are kind time,0,combined,kind time
hey sult??,1,train,hey sult
go pakki yourself,1,combined,pakki
stupid jezebel,1,train,stupid jezebel
niggah alert,1,combined,niggah alert
retard!,1,combined,retard
totally solt,0,train,totally solt
youre known for being hardworking,0,combined,youre known hardworking
hey kikk,1,train,hey kikk
you are a pussy,1,combined,pussy
omg wonderful smh,0,test,omg wonderful smh
cunt.,1,train,cunt
youre see you later,0,combined,youre see later
absolutely appreciate it,0,test,absolutely appreciate
very you are supportive,0,train,supportive
seasons greetings!!,0,train,season greeting
smh excellent work rn,0,combined,smh excellent work
ur asshol,1,combined,asshol
crap your mom,1,train,crap mom
thank you...,0,combined,thank
reallyfunnyperson,0,combined,reallyfunnyperson
ur u prostitude,1,train,prostitude
door?,0,combined,door
u prostitude...,1,combined,prostitude
dyke you,1,combined,dyke
kill yourself whore,1,train,kill whore
considering you dont belong,1,train,considering dont belong
uglee!,1,combined,uglee
fag your family,1,train,fag family
what a genius,0,train,genius
such a pen,0,train,pen
worthless deatth,1,combined,worthless deatth
proactive.,0,combined,proactive
very intelligent person,0,train,intelligent person
too white people are,1,combined,white people
shiit??,1,train,shiit
you hippo,1,combined,hippo
have a you are amazing time,0,combined,amazing time
whats up schizoo,1,train,whats schizoo
you dont belong here...,1,combined,dont belong
walk!!,0,train,walk
chnk alert,1,train,chnk alert
you are fat chance,0,train,fat chance
shit you,1,combined,shit
you nigger,1,combined,nigger
worthless fat,1,train,worthless fat
you are chair,0,combined,chair
wow youre worthless trash lol,1,combined,wow youre worthless trash lol
you are call girl,1,train,call girl
absolutely sweet person,0,combined,absolutely sweet person
thats very awesome,0,train,thats awesome
really nice to meet you,0,train,really nice meet
exceptional,0,train,exceptional
repulsive you,1,combined,repulsive
such youre a madman,1,train,youre madman
hooker whore,1,combined,hooker whore
so cherish,0,val,cherish
sandnigger...,1,combined,sandnigger
really sort,0,train,really sort
girl business woman,0,test,girl business woman
youre a conscientious,0,train,youre conscientious
ngl inspiring rn,0,test,ngl inspiring
so happy for you smh,0,test,happy smh
feeling school,0,train,feeling school
lunatik,1,train,lunatik
prostitut alert,1,val,prostitut alert
hey bastard,1,combined,hey bastard
extremely too asian for this,1,train,extremely asian
damn obesse,1,train,damn obesse
youre wish you well,0,train,youre wish well
you are too asian so what,1,combined,asian
damn mantal,1,train,damn mantal
stupid idiot tbh,1,combined,stupid idiot tbh
lol go to hell,1,train,lol hell
slut your family,1,combined,slut family
very youre doing outstanding,0,combined,youre outstanding
very amazing work,0,combined,amazing work
useless psycko,1,test,useless psycko
what a you are kind day,0,combined,kind day
youre hard worker,0,combined,youre hard worker
youreresourceful,0,train,youreresourceful
such a positive,0,combined,positive
what a wittyperson,0,combined,wittyperson
totally bought,0,train,totally bought
ladyboy your mom,1,combined,ladyboy mom
problemsolver!,0,test,problemsolver
your mantal,1,train,mantal
you are talented!!,0,train,talented
you fate,1,combined,fate
smh wonderful lol,0,combined,smh wonderful lol
i will kill you...,1,combined,kill
smh go die in a hole tbh,1,combined,smh die hole tbh
lol nobody cares about you,1,combined,lol nobody care
considering go back to india,1,train,considering back india
because black ape,1,combined,black ape
what a all the best day,0,train,best day
soadaptable,0,combined,soadaptable
completely problem-solver,0,combined,completely problemsolver
very shut,0,combined,shut
water!,0,train,water
tbh wonderful rn,0,combined,tbh wonderful
such a wonderful person,0,combined,wonderful person
brown people are so what,1,train,brown people
fck and proud,1,test,fck proud
i think youre adaptable,0,val,think youre adaptable
bonkers,1,combined,bonkers
everyone says youre tough person,0,combined,everyone say youre tough person
youre best of luck,0,combined,youre best luck
omg dumbass motherfucker lol,1,combined,omg dumbass motherfucker lol
youve always been smart,0,combined,youve always smart
i think youre proficient,0,combined,think youre proficient
you are wise,0,combined,wise
i hate that you smell brown,1,combined,hate smell brown
very hit,0,train,hit
stupid butterface,1,train,stupid butterface
birdbrain?,1,train,birdbrain
everyone says youre proactive,0,train,everyone say youre proactive
nasty aswhole,1,combined,nasty aswhole
nice.,0,combined,nice
worthless nigger,1,train,worthless nigger
u hi prostitute,1,combined,prostitute
youreakindperson,0,train,youreakindperson
train!!,0,combined,train
very see you later,0,train,see later
book?,0,train,book
worthless schizofrenic,1,train,worthless schizofrenic
hi bitc,1,train,bitc
fucking slat,1,combined,fucking slat
good morning to see you,0,combined,good morning see
disappear forever you,1,train,disappear forever
right decision!,0,combined,right decision
absolutely congratulations,0,train,absolutely congratulation
go bitc yourself,1,train,bitc
damn ugli,1,train,damn ugli
hi bicth!,1,train,bicth
hi fuc,1,combined,fuc
pillock your family,1,combined,pillock family
play to see you,0,train,play see
psycko and proud,1,train,psycko proud
git!,1,combined,git
goblin.,1,train,goblin
set,0,train,set
escort yourself,1,train,escort
filthy brown?,1,train,filthy brown
arse you,1,combined,arse
i hate that you are so asian,1,val,hate asian
nuts?,1,combined,nut
since nasty brown,1,combined,since nasty brown
i hate that too black for here,1,val,hate black
fukc...,1,test,fukc
dirty prostitu,1,combined,dirty prostitu
go pillock yourself,1,combined,pillock
filthy chinck,1,combined,filthy chinck
you pakki,1,combined,pakki
innovative...,0,combined,innovative
niggar and proud,1,combined,niggar proud
nobody likes you fr,1,train,nobody like
gook yourself,1,combined,gook
youre nigga,1,train,youre nigga
filthy asian?,1,combined,filthy asian
youre such a niggah,1,combined,youre niggah
youre pakki,1,combined,youre pakki
pussy yourself,1,combined,pussy
socaringperson,0,train,socaringperson
completely sault,0,combined,completely sault
have a positive time,0,combined,positive time
completely psychological,0,train,completely psychological
very talented,0,train,talented
absolutely mental peace,0,combined,absolutely mental peace
youre minge,1,combined,youre minge
kikke??,1,train,kikke
blessed!!,0,combined,blessed
you cock,1,val,cock
considering kung flu,1,train,considering kung flu
love this so much rn,0,val,love much
you bollocks,1,combined,bollock
youre cut,0,train,youre cut
youre pathetic lol,1,combined,youre pathetic lol
everyone thinks colored people,1,train,everyone think colored people
really caring,0,test,really caring
good.,0,combined,good
disturbed asshole,1,train,disturbed asshole
sup dickk,1,combined,sup dickk
youre so white!!,1,combined,youre white
go fck yourself,1,combined,fck
fucking basturd,1,train,fucking basturd
completely how are you doing,0,combined,completely
totally fat cat,0,combined,totally fat cat
deth...,1,combined,deth
what a happy holidays,0,combined,happy holiday
useless bicth,1,combined,useless bicth
very youre insane,1,train,youre insane
you are mental strength,0,combined,mental strength
youre talented,0,val,youre talented
worthless chink,1,train,worthless chink
trulyproductive,0,combined,trulyproductive
lol beautiful rn,0,val,lol beautiful
youre very enthusiastic,0,train,youre enthusiastic
tbh go to hell fr,1,combined,tbh hell
really my apologies,0,train,really apology
ure hi slut,1,combined,ure slut
you die,1,combined,die
you are proactive,0,train,proactive
basturd...,1,combined,basturd
psych ward...,1,train,psych ward
bugger.,1,train,bugger
what a fatty,1,train,fatty
youre shitt,1,train,youre shitt
you're a great person girl,0,train,youre great person girl
totally kind person,0,combined,totally kind person
definitely you smell like black,1,combined,definitely smell like black
hey kil,1,combined,hey kil
you people of color,1,combined,people color
you continue to be organized,0,test,continue organized
ur mantal,1,combined,mantal
so listen,0,train,listen
