text,label
patientperson...,0
niggar...,1
you kikk,1
such a you are helpful,0
damn uglee,1
ure ur sult,1
u slutt,1
skilled,0
ur hey prostitude,1
prostitut??,1
youre such a kiill,1
you continue to be good-looking person,0
sup diee,1
stunning...,0
piss.,1
youre doing exceptional,0
whats up gook,1
happy birthday,0
hey u bicth,1
you carzy,1
go deatth yourself,1
youre mental,1
worthless hey sult,1
youaretruthfulperson,0
what a good luck,0
absolutely cute,0
psychotherapy!!,0
dirty slut,1
hi slut...,1
you continue to be really impressive,0
you are excellent work,0
whats up prostitut,1
yo mentall,1
absolutely great worker,0
worthless prostitude,1
so set,0
youre skizoo,1
sup chnk,1
completely mental wellness,0
genius...,0
unstable your mom,1
such a please,0
fucking bitch!,1
youre handsome person,0
hello nigger,1
you obese,1
you sult...,1
fucking homely,1
very excellent choice,0
you sicko,1
given that youre so white,1
youre prostitude,1
people say illegal immigrant,1
spade asshole,1
have a clever time,0
ugly madwoman,1
kll alert,1
your reputation as flexible precedes you,0
crazy you,1
too black to work here,1
such a bet,0
what about you people of color,1
what a fucking idiot,1
youre known for being caringperson,0
psychologist...,0
slutt bitch,1
youarepatientperson,0
stupid sult bitch,1
sup insane,1
deeth...,1
hey prostitute,1
killl,1
youareleader,0
ur slute,1
trulyinterestingperson,0
nasty aswhole,1
you are strong,0
really strong work ethic,0
fatso your family,1
what a pizza face,1
you are thank you,0
ure bithc,1
soresourceful,0
go plain yourself,1
stupid fat,1
i think youre different,1
your reputation as wonderful job precedes you,0
your death,1
sup fucking sult,1
disgusting white!,1
ur slutt,1
love.,0
worthless lunatick,1
chinc,1
really bought,0
whore bitch,1
youre very great effort,0
faggot...,1
useless ur slut,1
very you people of color,1
you are mentally strong.,0
totally ugly christmas sweater,0
such a howdy,0
nasty kikk,1
genuinely dedicatedworker,0
so brilliant person,0
totally such,0
everyone says youre hard worker,0
youre apologies,0
youretalented,0
fock,1
you continue to be engagingperson,0
go shitt yourself,1
fucking u bitch,1
sleep to see you,0
youre niggur,1
you are slight,0
hello crezy,1
you are my apologies,0
your paki,1
stupid deeth,1
charismaticperson.,0
what a bugger,1
thank you...,0
whats up niggur,1
what a caringperson,0
absolutely good night,0
people say youre wonderful job,0
hello prostitu,1
nice to meet you!!,0
totally brilliant person,0
fuck,1
fucking bitch bitch,1
you are thankful,0
sopassionate,0
nasty kll,1
chinck??,1
youre such a fucking bitch,1
youre doing wonderful!!,0
verygenuineperson,0
whats up skizoo,1
really great person,0
nasty obesse,1
i hate that you black people,1
really crazy good,0
totally slat,0
you are excellent worker,0
totally sit,0
what a kikk,1
u niger,1
what a kikke,1
you are nice person,0
stupid kikke,1
hello craazy,1
totally fat wallet,0
you remain understandingperson,0
ugli,1
really cast,0
shiit??,1
brave...,0
minger!,1
really salt,0
lesbo bitch,1
youre an excellent choice,0
slat??,1
everyone says youre wonderfulperson,0
what a bat,0
what a congratulations,0
hi chnk,1
completely sweet person,0
what a good work,0
you are positive?,0
youre innovative,0
sweet person,0
youre such a nigger,1
such a phone,0
achievement to see you,0
you continue to be entertaining person,0
nice to meet you,0
damn hi prostitude,1
i think youre reliable,0
good night!,0
sup nigga,1
genuinely adaptable,0
youre amazing,0
youreproblemsolver,0
ure you sult,1
happy birthday!,0
lunattic??,1
fucking wanker,1
gorgeous...,0
kind!,0
completely hey,0
considerate person...,0
what a salt,0
youre such a mental,1
very creative,0
ur lunattic,1
youve always been your passion is contagious,0
we think latino people are,1
insaine??,1
people say youre strongperson,0
sllut??,1
you hi bitch,1
stupid hooker,1
your slut,1
silt,0
youve always been high quality work,0
youre such a cock,1
see you later!,0
slute!,1
very sock,0
youre hi bitch,1
completely sit,0
very authentic person,0
youre responsible,0
stupid protitut,1
cute,0
great choice,0
you lunatic,1
your reputation as conscientious precedes you,0
you smell like latino,1
really courageous person,0
you fucking sult,1
really bus,0
really amazing person,0
your obese,1
damn loonatic,1
filthy nasty slut,1
ure niggar,1
hello prostitut,1
youre very masterful,0
dumbfuck bitch,1
fuk bitch,1
you skizoo,1
stupid you bitch,1
absolutely too white to work here,1
go you slut yourself,1
youre great job,0
so hot,0
laugh!,0
so howdy,0
totally boat,0
so go back to africa,1
fucking lunatik,1
damn crap,1
chink!,1
bastard!,1
youre not like us and you know it,1
very hey,0
damn shitt,1
such a intelligent person,0
fucking chink,1
what a prostitude,1
very leader,0
what a take care day,0
merry christmas!,0
so confident,0
seasons greetings!!,0
so sock,0
so hi,0
everyone says youre niceperson,0
go loonatic yourself,1
what a dedicated,0
fucking asshoel,1
very all the best,0
really you look like a monkey,1
happy birthday!!,0
very youre a weirdo,1
seasons greetings!,0
hey you prostitute,1
obees...,1
what a cute,0
you prostitute bitch,1
your insne,1
handsome!,0
yo sicko,1
go crzy yourself,1
stupid bitch!,1
yo gukk,1
sweet!,0
completely amazing work,0
yo sico,1
you are sit,0
skilled!!,0
filthy gook,1
such a wonderful person,0
sandnigger you,1
since you smell like black,1
absolutely excuse me,0
you are great job,0
so psychology,0
completely handsome,0
dirty latino!!,1
fucking dik,1
really psychologist,0
sup dye,1
u basturd,1
what a caring,0
totally bat,0
very great to see you,0
fck bitch,1
youre thanks,0
you dik,1
fuck??,1
great to see you,0
such a excellentworker,0
whats up niggar,1
youre wonderful attitude,0
youre slight,0
fucking basterd,1
fock!,1
so wish you well,0
completely slate,0
everyone says youre wonderful effort,0
people say youre patient person,0
worthless shite,1
absolutely but,0
sotrustworthy,0
hey dii,1
sup sluut,1
totally shout,0
stupid you slut,1
obes,1
golliwog,1
pardon me!,0
whats up sht,1
truly well done,0
proactive.,0
very smart,0
very youre doing outstanding,0
youre sack,0
feeling computer,0
youre such a hell,1
completely hit,0
you bitch...,1
what a insne,1
deeth bitch,1
moron your mom,1
psycho??,1
cast,0
team player!,0
so mental health,0
youve always been niceperson,0
completely slat,0
youre known for being leader,0
strong,0
youre an wonderful attitude,0
totally hot,0
bastard???,1
hey hi bitch,1
what a you are helpful day,0
really how are you,0
useless killl,1
dye and proud,1
short,0
completely crazy fun,0
hi prostitute,1
what a brave,0
keep it up...,0
worthless chink,1
strong person...,0
such a brilliant,0
truly adaptable,0
you remain passionate,0
what about you are so white,1
youresucharesponsibleworker,0
very intelligent,0
youre good work,0
really productive,0
u fucking bicth,1
hit!,0
evening to see you,0
pimply your family,1
very happy birthday,0
damn ugylie,1
fucking fag,1
kikke??,1
nasty crazy,1
youre very organized,0
absolutely sought,0
youre strong,0
minge,1
i hate that go back to your country,1
stupid sult,1
stupid slut...,1
happy birthday...,0
innovative!!,0
youre good evening,0
fucking douchebag,1
fattie!,1
dirty schizofrenic,1
youre such a commit suicide,1
youre have a good day,0
what a niggur,1
youre outstanding work,0
ur fuk,1
truly wonderfulperson,0
fucking mong,1
hooker,1
stupid schizofrenic,1
you continue to be brilliant,0
truly supportive person,0
very black smell,1
fucking bicth...,1
hello asshol,1
professional.,0
you are a great person...,0
you are would you please,0
fucking dye,1
sothoughtfulperson,0
sup bicth,1
gook??,1
such a pen,0
so genius,0
useless hey slut,1
hello crazy,1
what a killl,1
you have a kind heart...,0
really smart,0
whats up...,0
ure gook,1
very youre too white,1
you headcase,1
absolutely if you please,0
fucking dickk,1
really mental strength,0
craazy,1
really exceptional,0
youreangenius,0
flexible!!,0
very excellent attitude,0
fucking slute,1
too brown for this?,1
fucking dirty sult,1
u lunatick,1
so positive mindset,0
worthless hi prostitude,1
so good work,0
truly beautiful person,0
you smell like white,1
filthy fock,1
really fat cat,0
truly understanding person,0
attractive!!,0
filthy chink,1
everyone says youre dedicated,0
hey hey prostitute,1
cripple your family,1
hey slutt,1
u fattie,1
i think youre greatworker,0
professionalworker!!,0
i think youre skilled,0
youre such a fuk,1
deeth and proud,1
howdy...,0
youreaclever,0
feeling you have a great personality,0
very sorry,0
sack...,0
damn death,1
damn bithc,1
really brilliant person,0
people say youre extraordinary,0
queer bitch,1
clever.,0
extremely colored people,1
people say youre innovative,0
beautiful person!!,0
people say youre trustworthy,0
schizoo bitch,1
enthusiastic!!,0
nice person!!,0
mental strength,0
youre boat,0
yo fuk,1
whats up ugli,1
exceptional.,0
yo slutt,1
well done!,0
shot,0
youre mong,1
everyone says youre genius,0
please!,0
chinese virus.,1
pakie!,1
what a pleased to meet you,0
totally kind,0
feeling achievement,0
such a table,0
skilled!,0
so how are you doing,0
what a you slut,1
people say youre dedicatedworker,0
good night!!,0
youre nasty sult,1
really achievement,0
useless lunatick,1
youre sot,0
beautiful,0
you are too brown!!,1
hello pakky,1
youre such a fucking sult,1
such a have a good day,0
go protitut yourself,1
ur prostitut,1
