text,label
damn chubby,1
nutcase asshole,1
you are good,0
go die...,1
strong.,0
blockhead your mom,1
simpleton bitch,1
hope to see you,0
what a filthy,1
go kill yourself your family,1
damn spade,1
damn???,1
really day,0
ugly vanish from existence,1
youre nigga,1
you sandnigger,1
such a school,0
have a you are wonderful time,0
have a school time,0
feeling excuse me,0
hope!,0
have a smile time,0
crazy your mom,1
ugly git,1
pimply you,1
ugly arse,1
stupid your family,1
good night?,0
nice!,0
sicko your mom,1
you are caring to see you,0
youre overweight,1
ugly go die,1
extremely get mental help,1
pillock!,1
commit suicide your family,1
slut yourself,1
dimwit bitch,1
stupid i will find you,1
good.,0
ugly street walker,1
poof your family,1
have a work time,0
stay well done,0
goblin your mom,1
youre a sociopath!,1
you are you have a beautiful mind,0
fucking ditz,1
bastard???,1
feeling beautiful,0
fucking hooker,1
psychotic,1
really rest,0
book...,0
what a street day,0
water.,0
ugly nutcase,1
skank asshole,1
feeling wonderful,0
shemale,1
ugly smelly,1
deformed your family,1
really chair,0
ugly nigger,1
moron.,1
amazing effort?,0
have a joy time,0
you are family,0
chink.,1
stay pen,0
i will find you your family,1
psychotic???,1
write,0
you are helpful?,0
fucking coon,1
dimwit!!,1
you are emotionally balanced!!,0
birdbrain!!,1
jump off a bridge bitch,1
minge!!,1
feeling excellent,0
blockhead whore,1
youre such a sicko,1
you are you have a kind heart,0
damn maniac,1
pen to see you,0
train.,0
fucking filthy,1
dog.,1
you are you are motivating,0
such a blessed,0
damn cunt,1
what a numbskull,1
damn dick,1
damn hideous,1
nigger!!,1
very cherish,0
very best wishes,0
thankful!!,0
ugly harlot,1
street!,0
road?,0
read.,0
youre such a portly,1
car!,0
have a treasure time,0
dog whore,1
fucking nigger,1
fuck your family,1
awesome...,0
smile!,0
what a youre mentally ill,1
feeling sleep,0
such a water,0
what a youre a maniac,1
chair!,0
fucking hippo,1
what a you are strong day,0
stay good night,0
ugly fool,1
what a burn in hell,1
you bipolar,1
very excellent,0
lardass your family,1
talk...,0
unstable your mom,1
what a please day,0
goblin!!,1
what a tranny,1
dick asshole,1
peace!!,0
so paper,0
you are night,0
prostitute???,1
what a dyke,1
stay friend,0
progress!!,0
what a golliwog,1
you smelly,1
friend to see you,0
you are a great person...,0
damn street walker,1
wanker your mom,1
balanced?,0
stupid fucking faggot,1
you are encouraging!,0
so you have a beautiful mind,0
vile.,1
great!!,0
moron???,1
what a joy day,0
stay grateful,0
supportive,0
stupid fucking bitch,1
monster bitch,1
smart!!,0
mutant you,1
you are talented to see you,0
what a morning day,0
you are fantastic,0
go plain yourself,1
damn rot in hell,1
window.,0
what a youre unstable,1
so you are motivating,0
rank!!,1
you are kind to see you,0
dog?,1
really you are a good friend,0
fat your family,1
morning!,0
such a outstanding performance,0
stay confident,0
tubby your family,1
you homely,1
congratulations?,0
stay good,0
ugly hang yourself,1
knucklehead!,1
have a you have a kind heart time,0
youre straightjacket,1
stay you are creative,0
go hooker yourself,1
raghead yourself,1
feeling well,0
all the best to see you,0
beast?,1
feeling thankful,0
douchebag!!,1
really you have good mental health,0
ladyboy your mom,1
really hope,0
what a loony bin,1
very sit,0
such a all the best,0
schizophrenic you,1
jerk!,1
you are a good friend...,0
calm?,0
feeling appreciate,0
lunatic fringe asshole,1
such a you are caring,0
plump you,1
cunt bitch,1
psych ward...,1
very congratulations,0
have a water time,0
such a house,0
you headcase,1
sorry,0
towelhead your mom,1
have a awesome time,0
excellent work.,0
smile...,0
you motherfucker,1
such a stable,0
hang yourself you,1
take care to see you,0
dick you,1
have a chair time,0
you are you are thoughtful,0
feeling you have a great personality,0
numbskull!!,1
go git yourself,1
what a you are a good friend day,0
you are commit suicide,1
madhouse your mom,1
schizophrenic yourself,1
home?,0
ugly bugger,1
you are kind.,0
stupid mental illness,1
homely?,1
you are positive,0
dirty!,1
go douchebag yourself,1
you are amazing!,0
balanced to see you,0
dumb???,1
mental case,1
grateful!!,0
such a congratulations,0
youre such a son of a bitch,1
jezebel asshole,1
what a peace day,0
queer.,1
very brave,0
stupid birdbrain,1
sleep,0
what a psychotic,1
read...,0
very you are creative,0
really you are inspiring,0
halfwit you,1
such a street,0
you are you are kind,0
thankful?,0
very good,0
confident!,0
disappear forever you,1
what a best wishes day,0
prick?,1
stupid cripple,1
so smile,0
faggot yourself,1
you are laugh,0
cherish.,0
achievement?,0
have a you are encouraging time,0
stupid shoot yourself,1
wonderful!,0
stay stable,0
fag you,1
so phone,0
fuck you,1
excellent!,0
mental illness yourself,1
well done?,0
smile to see you,0
damn hang yourself,1
you are kind!!,0
mental illness whore,1
i will hurt you asshole,1
door,0
go die.,1
sociopath whore,1
you are mental,1
vile!!,1
jump off a bridge...,1
work.,0
stupid idiot,1
have a thankful time,0
stay calm,0
such a you are brave,0
youre such a bollocks,1
you ditz,1
ditz!,1
sweet to see you,0
youre psychotic,1
such a time,0
dimwit.,1
chubby you,1
shemale.,1
deformed whore,1
have a road time,0
feeling healthy,0
door?,0
stupid wanker,1
food to see you,0
lardass.,1
pardon me.,0
you floozy,1
cripple yourself,1
go disturbed yourself,1
so strong,0
hello...,0
great job...,0
you have a beautiful mind?,0
youre crazy!,1
fool...,1
smart?,0
blockhead!!,1
dog,1
youre bipolar,1
you have a kind heart!!,0
damn escort,1
stab yourself?,1
damn commit suicide,1
youre nuts,1
school.,0
golliwog your family,1
what a overweight,1
weirdo whore,1
mental case?,1
you are have a nice day,0
you are good morning,0
go queer yourself,1
youre such a mutant,1
escort...,1
great.,0
such a you are smart,0
psych ward!,1
mental illness bitch,1
you are poof,1
bimbo.,1
you have good mental health?,0
you basket case,1
have a smart time,0
you are strong to see you,0
take care,0
youre such a asylum,1
wally...,1
you troll,1
computer.,0
go bitch yourself,1
tubby bitch,1
asshole asshole,1
really peace,0
have a nice day...,0
what a you are encouraging day,0
call girl!!,1
you are smart!,0
feeling play,0
nitwit yourself,1
so take care,0
very strong,0
take care!,0
well!,0
go tranny yourself,1
youre mentally deranged??,1
arse?,1
very clever,0
really window,0
you shoot yourself,1
plonker?,1
have a good luck time,0
sick you,1
have a happy time,0
feeling peace,0
really house,0
crazy you,1
extremely you have mental problems,1
you are thank you,0
so time,0
good luck!!,0
so bus,0
stupid mental,1
straightjacket bitch,1
what a troll,1
so you are encouraging,0
book!,0
so caring,0
cow your family,1
madman you,1
such a smart,0
so youre a madman,1
youre a freak??,1
imbecile whore,1
awesome,0
intelligent?,0
brave?,0
such a helpful,0
pussy?,1
rank bitch,1
very stable,0
youre such a thickhead,1
so nice,0
plane to see you,0
fool???,1
prick yourself,1
stupid basket case,1
fucking fatso,1
dummy your family,1
have a nice day,0
brave...,0
what a commit suicide,1
troll bitch,1
go hell yourself,1
vanish from existence your mom,1
youre a psychopath,1
such a clever,0
you are you are positive,0
youre such a nitwit,1
damn madhouse,1
asylum!,1
cock...,1
damn windowlicker,1
towelhead asshole,1
street walker yourself,1
hippo?,1
train?,0
very healthy,0
rest,0
stay you are motivating,0
sandnigger...,1
what a fucking idiot,1
youre mutant,1
such a car,0
play,0
you are positive.,0
fucking tranny,1
rest to see you,0
dirty?,1
ladyboy???,1
caring to see you,0
go nuts yourself,1
youre bastard,1
maniac!!,1
feeling good,0
nuts bitch,1
good luck...,0
go tubby yourself,1
stay you are supportive,0
paper.,0
positive to see you,0
very day,0
youre such a dumbfuck,1
you are you have good mental health,0
very well done,0
so confident,0
acne face bitch,1
crap yourself,1
hideous your mom,1
very positive,0
plane!,0
ugly shithead,1
door.,0
crazy.,1
pardon me!,0
poof asshole,1
chink yourself,1
queer your mom,1
stay hope,0
you are write,0
commit suicide yourself,1
youre such a schizo,1
write to see you,0
stay best wishes,0
you are crazy person,1
stay you are emotionally balanced,0
please?,0
what a dickhead,1
you belong in a mental institution,1
damn nitwit,1
you are supportive!!,0
you are you are amazing,0
book.,0
go bollocks yourself,1
stab yourself.,1
simpleton your mom,1
you are a great person?,0
best wishes!!,0
skank bitch,1
you are a good friend?,0
go disfigured yourself,1
psych ward asshole,1
fucking numbskull,1
have a calm time,0
what a poof,1
youre dumb,1
youre such a ditz,1
youre psycho??,1
sandnigger whore,1
ugly crazy,1
excellent!!,0
feeling laugh,0
crap your family,1
revolting.,1
fuck!,1
live in heaven angel,0
such a great job,0
fucking tramp,1
pizza face you,1
very food,0
lunatic your mom,1
mental institution!,1
really read,0
youre such a mental illness,1
pen!,0
mutant your family,1
fantastic,0
idiot...,1
youre such a overweight,1
you are cunt,1
go whale yourself,1
you are skank,1
fucking poof,1
have a outstanding performance time,0
faggot,1
dummy yourself,1
smelly your mom,1
success!,0
really you are strong,0
have a run time,0
dyke...,1
smelly!,1
stupid filthy,1
i hope you succeed in life,0
you are mental??,1
everybody likes you angel,0
hippo!,1
love!,0
you are douchebag,1
have a supportive time,0
really well,0
go stab yourself yourself,1
stay you are wonderful,0
repulsive your family,1
go sociopath yourself,1
pussy your family,1
have a fantastic time,0
coon yourself,1
so smart,0
very youre a mental case,1
really table,0
spastic your family,1
filthy???,1
such a window,0
have a helpful time,0
youre mental institution,1
good!,0
what a home day,0
schizophrenic!,1
really smile,0
floozy,1
crap your mom,1
feeling hope,0
what a bipolar,1
dick!!,1
troll your mom,1
extremely youre disturbed,1
have a amazing time,0
damn shit,1
so goodbye,0
such a you are mentally strong,0
what a chair day,0
skank your family,1
have a write time,0
feeling you are amazing,0
very pardon me,0
schizophrenic...,1
disturbed you,1
what a phone day,0
book?,0
youre such a burn in hell,1
take care!!,0
damn...,1
sit!,0
you minger,1
stay home,0
such a friend,0
good luck?,0
feeling day,0
faggot asshole,1
great?,0
mong your family,1
great to see you,0
train!,0
disappear forever asshole,1
happy,0
you are towelhead,1
fuck!!,1
beached whale!!,1
stupid crap,1
what a pardon me day,0
what a talk day,0
what a goblin,1
stand...,0
really listen,0
what a progress day,0
you are jezebel,1
psychotic your family,1
such a you are thoughtful,0
computer!,0
so kind,0
twat yourself,1
youre such a nutcase,1
youre madwoman,1
youre such a beast,1
feeling smart,0
i will kill you your mom,1
psychopath.,1
feeling awesome,0
such a excellent work,0
you are straightjacket,1
knucklehead whore,1
congratulations.,0
fucking bastard,1
damn psych ward,1
go fool yourself,1
thanks?,0
you are lunatic fringe,1
damn fool,1
take care?,0
youre asshole,1
obese your mom,1
very please,0
rank...,1
phone...,0
peace.,0
what a strong day,0
floozy your family,1
fucking homely,1
such a you are wonderful,0
stay caring,0
so youre a mental patient,1
psychopath?,1
i will find you?,1
stay you are smart,0
youre such a call girl,1
what a youre a sicko,1
son of a bitch you,1
butterface,1
you are mentally strong!,0
walk,0
overweight bitch,1
balanced!,0
youre such a piss,1
you are creative...,0
dick yourself,1
you are chair,0
rest?,0
excellent...,0
youre pig,1
what a hello day,0
tranny,1
you have a great personality...,0
good luck.,0
very time,0
feeling rest,0
amazing effort!,0
unattractive...,1
such a goodbye,0
mad you,1
vile your mom,1
psychopath!!,1
really kind,0
gook you,1
you psych ward,1
table...,0
sandnigger,1
sweet.,0
youre elephant,1
you are whore,1
buttaface?,1
psych ward yourself,1
you have a beautiful mind!,0
good morning...,0
feeling book,0
very walk,0
such a take care,0
have a best wishes time,0
whale whore,1
very you are a good friend,0
what a road day,0
dimwit your family,1
what a fantastic day,0
you bimbo,1
i will hurt you!,1
outstanding performance to see you,0
you are creative?,0
evening?,0
so youre crazy,1
douchebag!,1
youre from the lunatic fringe??,1
helpful!,0
read to see you,0
numbskull your mom,1
very train,0
bastard you,1
hussy,1
ugly windowlicker,1
youre such a paki,1
plane!!,0
faggot???,1
fucking deformed,1
bless you live well,0
write.,0
repulsive whore,1
ugly repulsive,1
stupid butterface,1
damn homely,1
blessed?,0
such a good luck,0
you pig,1
extremely youre bonkers,1
you lunatic fringe,1
feeling excellent work,0
shemale bitch,1
healthy!,0
you peabrain,1
very youre mentally deranged,1
very amazing,0
you are helpful to see you,0
ugly strumpet,1
bugger?,1
have a day time,0
stay kind,0
go plump yourself,1
what a success day,0
minger whore,1
you are wonderful.,0
birdbrain,1
stinky.,1
mental,1
golliwog!,1
youre such a knucklehead,1
really water,0
you are positive to see you,0
what a wonderful day,0
psycho you,1
fatass whore,1
youre crazy??,1
psychopath asshole,1
pig your mom,1
madman whore,1
blessed!!,0
stinky!!,1
peabrain...,1
have a sweet time,0
so youre nuts,1
you are emotionally balanced to see you,0
feeling brave,0
youre schizo!,1
run?,0
jump off a bridge???,1
imbecile bitch,1
plain,1
dick your mom,1
hi!,0
so run,0
obese???,1
ugly lardass,1
fat???,1
bollocks?,1
disgusting bitch,1
feeling family,0
you are rank,1
you are plonker,1
listen?,0
stupid poof,1
such a happy,0
fucking rot in hell,1
hi...,0
good luck to see you,0
damn stupid,1
thank you?,0
go enjoy yourself,0
nice.,0
prostitute whore,1
so you are inspiring,0
very caring,0
very excellent work,0
very plane,0
youre a lunatic,1
very you are brave,0
have a time time,0
all the best!,0
you are amazing effort,0
goblin asshole,1
dumbass???,1
you psycho,1
call girl.,1
work,0
wise!,0
stay hello,0
twat,1
go stinky yourself,1
